iter	Passed	Remaining
1245	9484	1933
1246	9490	1925
1247	9497	1917
1248	9503	1909
1249	9509	1901
1250	9515	1893
1251	9521	1886
1252	9527	1878
1253	9534	1870
1254	9540	1862
1255	9546	1854
1256	9553	1846
1257	9559	1838
1258	9565	1831
1259	9573	1823
1260	9580	1815
1261	9587	1808
1262	9594	1800
1263	9601	1792
1264	9608	1785
1265	9615	1777
1266	9621	1769
1267	9628	1761
1268	9634	1753
1269	9641	1746
1270	9647	1738
1271	9654	1730
1272	9665	1723
1273	9674	1716
1274	9681	1708
1275	9688	1700
1276	9694	1692
1277	9704	1685
1278	9710	1677
1279	9717	1670
1280	9724	1662
1281	9731	1654
1282	9737	1646
1283	9743	1639
1284	9750	1631
1285	9756	1623
1286	9763	1615
1287	9770	1608
1288	9777	1600
1289	9785	1592
1290	9792	1585
1291	9799	1577
1292	9805	1569
1293	9812	1562
1294	9819	1554
1295	9825	1546
1296	9831	1538
1297	9838	1531
1298	9844	1523
1299	9850	1515
1300	9856	1507
1301	9863	1500
1302	9870	1492
1303	9876	1484
1304	9882	1476
1305	9890	1469
1306	9896	1461
1307	9902	1453
1308	9909	1445
1309	9916	1438
1310	9922	1430
1311	9929	1422
1312	9936	1415
1313	9944	1407
1314	9950	1399
1315	9958	1392
1316	9965	1384
1317	9973	1377
1318	9980	1369
1319	9987	1361
1320	9993	1354
1321	9999	1346
1322	10006	1338
1323	10012	1330
1324	10018	1323
1325	10024	1315
1326	10031	1307
1327	10037	1300
1328	10044	1292
1329	10050	1284
1330	10056	1276
1331	10063	1269
1332	10069	1261
1333	10075	1253
1334	10082	1246
1335	10088	1238
1336	10094	1230
1337	10101	1223
1338	10108	1215
1339	10114	1207
1340	10120	1199
1341	10127	1192
1342	10135	1184
1343	10141	1177
1344	10149	1169
1345	10156	1162
1346	10162	1154
1347	10168	1146
1348	10176	1139
1349	10182	1131
1350	10188	1123
1351	10195	1116
1352	10201	1108
1353	10207	1100
1354	10213	1092
1355	10220	1085
1356	10226	1077
1357	10232	1069
1358	10238	1062
1359	10244	1054
1360	10251	1046
1361	10257	1039
1362	10263	1031
1363	10270	1024
1364	10276	1016
1365	10282	1008
1366	10289	1001
1367	10295	993
1368	10302	985
1369	10309	978
1370	10318	970
1371	10324	963
1372	10330	955
1373	10337	947
1374	10344	940
1375	10350	932
1376	10358	925
1377	10365	917
1378	10372	910
1379	10379	902
1380	10385	894
1381	10391	887
1382	10398	879
1383	10404	872
1384	10411	864
1385	10417	856
1386	10423	849
1387	10429	841
1388	10435	833
1389	10442	826
1390	10448	818
1391	10454	811
1392	10461	803
1393	10467	795
1394	10474	788
1395	10480	780
1396	10488	773
1397	10496	765
1398	10502	758
1399	10509	750
1400	10516	743
1401	10522	735
1402	10531	728
1403	10538	720
1404	10544	712
1405	10550	705
1406	10557	697
1407	10563	690
1408	10569	682
1409	10576	675
1410	10582	667
1411	10588	659
1412	10594	652
1413	10600	644
1414	10607	637
1415	10614	629
1416	10622	622
1417	10629	614
1418	10636	607
1419	10642	599
1420	10649	592
1421	10655	584
1422	10661	576
1423	10670	569
1424	10678	562
1425	10685	554
1426	10691	546
1427	10698	539
1428	10704	531
1429	10711	524
1430	10717	516
1431	10723	509
1432	10730	501
1433	10736	494
1434	10742	486
1435	10748	479
1436	10754	471
1437	10760	463
1438	10766	456
1439	10773	448
1440	10779	441
1441	10786	433
1442	10792	426
1443	10798	418
1444	10804	411
1445	10811	403
1446	10818	396
1447	10824	388
1448	10830	381
1449	10837	373
1450	10846	366
1451	10853	358
1452	10859	351
1453	10866	343
1454	10873	336
1455	10879	328
1456	10885	321
1457	10892	313
1458	10898	306
1459	10905	298
1460	10911	291
1461	10917	283
1462	10923	276
1463	10930	268
1464	10937	261
1465	10943	253
1466	10949	246
1467	10955	238
1468	10961	231
1469	10968	223
1470	10974	216
1471	10980	208
1472	10987	201
1473	10993	193
1474	10999	186
1475	11006	178
1476	11012	171
1477	11020	164
1478	11028	156
1479	11036	149
1480	11043	141
1481	11049	134
1482	11056	126
1483	11062	119
1484	11068	111
1485	11074	104
1486	11080	96
1487	11087	89
1488	11094	81
1489	11101	74
1490	11109	67
1491	11116	59
1492	11123	52
1493	11130	44
1494	11137	37
1495	11144	29
1496	11152	22
1497	11160	14
1498	11167	7
1499	11174	0
